CODEX,CP_FAM,ANY,TIPUS_ACCES,SELE,CP_CENTRE,RF,RC
274511,8640,2013,1,12.99,8640.0,19872.0,19872.0
275156,43002,2013,1,13.017999999999999,43002.0,22069.0,22069.0
259794,8006,2012,1,12.65,8021.0,27590.0,27590.0
262031,8017,2012,1,10.74,8017.0,27590.0,27590.0
261879,8504,2012,1,11.696,8500.0,21661.0,19975.0
258115,8907,2012,1,10.345999999999998,8907.0,18101.0,18101.0
245132,8017,2011,1,10.78,8017.0,27590.0,27590.0
261150,8221,2012,1,10.978,8021.0,21398.0,27590.0
276949,8025,2013,1,11.345999999999998,8009.0,16928.0,18924.0
226495,8011,2010,1,10.47,8007.0,18924.0,18924.0
227098,8034,2010,1,10.73,8034.0,27590.0,27590.0
229925,8006,2010,1,12.796,8034.0,27590.0,27590.0
227309,8023,2010,1,12.495999999999999,8022.0,16928.0,27590.0
227326,8500,2010,1,10.55,8500.0,19975.0,19975.0
227284,8041,2010,1,10.052,8041.0,12950.0,12950.0
227285,8025,2010,1,9.83,8041.0,16928.0,12950.0
227422,8025,2010,1,10.794,8025.0,16928.0,16928.0
227332,8552,2010,1,9.786,8500.0,20504.0,19975.0
227231,8025,2010,1,11.378,8025.0,16928.0,16928.0
227132,8034,2010,1,10.398,8022.0,27590.0,27590.0
226463,8029,2010,1,10.004,8034.0,18924.0,27590.0
227413,8022,2010,1,11.0,8017.0,27590.0,27590.0
227034,8006,2010,1,12.187999999999999,8017.0,27590.0,27590.0
227047,8906,2010,1,12.6,8901.0,18101.0,18101.0
229368,8172,2010,1,11.154000000000002,8034.0,34355.0,27590.0
228021,8860,2010,1,10.196,8860.0,27502.0,27502.0
227823,8901,2010,1,9.988,8907.0,18101.0,18101.0
227701,8009,2010,1,11.868,8010.0,18924.0,14156.0
228006,43330,2010,1,10.002,43330.0,17471.0,17471.0
228429,8402,2010,1,11.585999999999999,8100.0,21123.0,19375.0
228439,8700,2010,1,10.694,8700.0,20224.0,20224.0
228268,25210,2010,1,10.995999999999999,25210.0,18175.0,18175.0
227887,8014,2010,1,10.82,8014.0,12929.0,12929.0
227588,8940,2010,1,12.04,8017.0,18747.0,27590.0
227856,8017,2010,1,9.896,8173.0,27590.0,34356.0
227859,8830,2010,1,10.76,8830.0,19019.0,19019.0
228049,8397,2010,1,10.73,17003.0,17270.0,23039.0
228576,8620,2010,1,10.328,8620.0,18824.0,18824.0
227755,8015,2010,1,11.095999999999998,8034.0,18924.0,27590.0
227757,8034,2010,1,10.84,8034.0,27590.0,27590.0
227775,8195,2010,1,10.308,8034.0,34357.0,27590.0
227302,8034,2010,1,10.46,8017.0,27590.0,27590.0
228245,8970,2010,1,10.026,8970.0,23961.0,23961.0
227637,8022,2010,1,12.466,8035.0,27590.0,12950.0
227641,8027,2010,1,11.18,8027.0,12367.0,12367.0
232124,8922,2010,1,9.682,8030.0,16567.0,28486.0
227480,8017,2010,1,12.114,8017.0,27590.0,27590.0
233204,8007,2010,1,10.91,8034.0,18924.0,27590.0
227947,8303,2010,1,10.49,8303.0,18688.0,18688.0
232351,8150,2010,1,9.746,8100.0,20558.0,19375.0
228375,8820,2010,1,9.783999999999999,8950.0,19463.0,25267.0
232248,8036,2010,1,9.693999999999999,8023.0,18924.0,16928.0
231991,8013,2010,1,10.802,8009.0,16928.0,18924.0
246265,8370,2011,1,12.648,8370.0,18245.0,18245.0
245113,8980,2011,1,10.458,8034.0,21813.0,27590.0
245086,8013,2011,1,11.222000000000001,8024.0,16928.0,16928.0
246123,8302,2011,1,11.267999999999999,8301.0,18687.0,18686.0
246132,8017,2011,1,11.89,8028.0,27590.0,21318.0
245603,8036,2011,1,9.732000000000001,8010.0,18924.0,14156.0
245605,8028,2011,1,12.672,8017.0,21318.0,27590.0
245450,8036,2011,1,10.94,8022.0,18924.0,27590.0
245986,8017,2011,1,11.694,8173.0,27590.0,34356.0
246057,25740,2011,1,10.356,8243.0,17000.0,20222.0
245332,8017,2011,1,12.517999999999999,8022.0,27590.0,27590.0
245393,8757,2011,1,9.876,8757.0,21552.0,21552.0
245401,8034,2011,1,11.154000000000002,8034.0,27590.0,27590.0
245404,8015,2011,1,11.155999999999999,8036.0,18924.0,18924.0
245407,8021,2011,1,10.13,8022.0,27590.0,27590.0
245314,8013,2011,1,11.866,8017.0,16928.0,27590.0
246416,17772,2011,1,11.258,17600.0,20418.0,18630.0
245568,8024,2011,1,9.874,8024.0,16928.0,16928.0
245176,8173,2011,1,12.352,8022.0,34356.0,27590.0
245674,8029,2011,1,10.94,8034.0,18924.0,27590.0
244060,8520,2011,1,12.13,8401.0,18317.0,21123.0
244848,25790,2011,1,11.39,25280.0,16422.0,16939.0
243979,17300,2011,1,10.894,17300.0,18094.0,18094.0
244455,43002,2011,1,11.5,43003.0,22069.0,22070.0
244456,43800,2011,1,10.972000000000001,43800.0,19151.0,19151.0
244886,8022,2011,1,10.224,8021.0,27590.0,27590.0
244843,17600,2011,1,10.45,17600.0,18630.0,18630.0
244391,8338,2011,1,10.558,8338.0,26719.0,26719.0
243702,43740,2011,1,10.616,43740.0,20120.0,20120.0
244300,8330,2011,1,10.93,8330.0,17000.0,17000.0
244329,8776,2011,1,12.252,8770.0,19214.0,21435.0
244226,8005,2011,1,10.036,8029.0,14180.0,18924.0
258233,8173,2012,1,12.548,8173.0,34356.0,34356.0
248645,8024,2011,1,10.702,8007.0,16928.0,18924.0
246908,8921,2011,1,11.936,8030.0,16566.0,28486.0
259924,8530,2012,1,11.532,8530.0,22949.0,22949.0
252402,8840,2011,1,9.568,8850.0,19616.0,23246.0
260836,8022,2012,1,12.54,8034.0,27590.0,27590.0
258290,8028,2012,1,10.825999999999999,8034.0,21318.0,27590.0
252421,8710,2011,1,9.586,8700.0,16036.0,20224.0
258256,8206,2012,1,11.31,8202.0,20344.0,20342.0
258260,8339,2012,1,11.075999999999999,8339.0,25701.0,25701.0
258162,8016,2012,1,11.684000000000001,8016.0,9142.0,9142.0
254672,8021,2011,1,9.514,8034.0,27590.0,27590.0
258620,8015,2012,1,12.632,8001.0,18924.0,14156.0
259015,8700,2012,1,11.754000000000001,8700.0,20224.0,20224.0
260099,8173,2012,1,12.824000000000002,8034.0,34356.0,27590.0
258784,8029,2012,1,10.845999999999998,8034.0,18924.0,27590.0
259232,8023,2012,1,11.776,8022.0,16928.0,27590.0
259480,8034,2012,1,10.892000000000001,8022.0,27590.0,27590.0
259485,8021,2012,1,10.884,8017.0,27590.0,27590.0
259082,17310,2012,1,11.462,17310.0,17153.0,17153.0
260427,8720,2012,1,10.687999999999999,8720.0,19883.0,19883.0
258446,8006,2012,1,11.964,8173.0,27590.0,34356.0
264437,17003,2012,1,10.38,17003.0,23039.0,23039.0
259337,43005,2012,1,12.782,43005.0,22072.0,22072.0
258438,25400,2012,1,11.33,25400.0,17499.0,17499.0
258836,8023,2012,1,10.558,8034.0,16928.0,27590.0
258846,8458,2012,1,11.116,8440.0,21036.0,22472.0
259528,8021,2012,1,12.682,8034.0,27590.0,27590.0
259470,8018,2012,1,11.277999999999999,8009.0,14180.0,18924.0
260289,8034,2012,1,10.66,8017.0,27590.0,27590.0
260334,8032,2012,1,11.048,8012.0,12950.0,16928.0
259904,8500,2012,1,11.342,8500.0,19975.0,19975.0
259602,8022,2012,1,10.87,8021.0,27590.0,27590.0
259357,8196,2012,1,10.9,8023.0,34358.0,16928.0
260697,8870,2012,1,11.402000000000001,8870.0,29451.0,29451.0
260988,8027,2012,1,12.4,8027.0,12367.0,12367.0
259479,8034,2012,1,11.272,8034.0,27590.0,27590.0
260689,17820,2012,1,11.264000000000001,17820.0,20221.0,20221.0
260153,25300,2012,1,11.234000000000002,25300.0,18049.0,18049.0
261058,8980,2012,1,11.48,8980.0,21813.0,21813.0
254785,17003,2011,1,9.434,17004.0,23039.0,23039.0
254796,25400,2011,1,9.386000000000001,25400.0,17499.0,17499.0
261446,8014,2012,1,12.165999999999999,8029.0,12929.0,18924.0
264669,8206,2012,1,11.38,8202.0,20344.0,20342.0
261872,8460,2012,1,10.624,8460.0,21030.0,21030.0
261332,8014,2012,1,11.488,8014.0,12929.0,12929.0
261782,17310,2012,1,11.985999999999999,17310.0,17153.0,17153.0
261106,8394,2012,1,11.89,8302.0,32572.0,18687.0
261773,8034,2012,1,12.032,8173.0,27590.0,34356.0
261509,8011,2012,1,11.66,8023.0,18924.0,16928.0
261708,8015,2012,1,12.92,8023.0,18924.0,16928.0
262102,8903,2012,1,12.654000000000002,8017.0,18101.0,27590.0
262803,8005,2012,1,11.744000000000002,8005.0,14180.0,14180.0
264411,8420,2012,1,10.51,8400.0,18559.0,21123.0
261747,8640,2012,1,11.004000000000001,8640.0,19872.0,19872.0
261161,8980,2012,1,12.054,8980.0,21813.0,21813.0
262874,8906,2012,1,10.536,8905.0,18101.0,18101.0
261563,8015,2012,1,11.15,8015.0,18924.0,18924.0
261961,8026,2012,1,10.484000000000002,8009.0,16928.0,18924.0
262844,8023,2012,1,10.494000000000002,8017.0,16928.0,27590.0
262851,25124,2012,1,11.107999999999999,25196.0,17620.0,19811.0
264805,8940,2012,1,10.774000000000001,8017.0,18747.0,27590.0
275107,8700,2013,1,12.944,8700.0,20224.0,20224.0
276867,8009,2013,1,10.504000000000001,8035.0,18924.0,12950.0
276167,8019,2013,1,11.595999999999998,8009.0,14180.0,18924.0
276847,43001,2013,1,12.98,43007.0,22069.0,22073.0
276613,8790,2013,1,12.952,8004.0,21552.0,12929.0
274825,8020,2013,1,10.22,8027.0,14180.0,12367.0
277075,8005,2013,1,11.104000000000001,8005.0,14180.0,14180.0
