CP,CITY,BRUTA,NETA
8016,Porta/LA prosperitat,11427,9142
8031,Can Peguera,11427,9142
8042,Les Roquetes,11427,9142
12330,Traiguera,13713,10970
8027,La Sagrera,15459,12367
8924,Barri Oliveres,15459,12367
21440,Lepe,16250,13000
20002,San Sebastian,19589,16390
20007,Kontxa,19589,16390
20008,San sebastian,19589,16390
20009,San sebastian,19589,16390
20012,Luis Martin Santos Plaza,19589,16390
20013,San sebastian,19589,16390
20014,Martutene,19589,16390
20018,San sebastian,19589,16390
20120,Hernani,19589,16390
8004,Poble Sec,16409,12929
8014,Sants,16409,12929
8038,Montjuic,16409,12929
8032,El Carmelo,16436,12950
8035,Horta-Guinardó,16436,12950
8041,El Guinardo,16436,12950
1007,Vitoria,20004,15626
43596,Horta de San Juan,17343,13630
38410,LOS Realejos,17456,13715
8001,Distrito Ciutat Vella/Raval,18045,14156
8002,Ramblas,18045,14156
8003,Parc Ciutadella,18045,14156
8010,Arc Triomf,18045,14156
8005,Poble Nou,18077,14180
8018,Distrito San Martin,18077,14180
8019,Parc Diagonal Mar,18077,14180
8020,La Verneda i La Pau/San Martin de provensals,18077,14180
43781,La Fatarella,18108,14204
21820,Lucena del Puerto,18167,14248
25182,Aitona,18169,14249
25140,Arbeca,18323,14365
36947,Cangas,18339,14377
16002,Cuenca,18549,14534
16200,Cuenca,18549,14534
44570,Calanda,18641,14603
43550,Ulldecona,18700,14648
43747,Benissanet,18778,14706
43580,Deltebre,18895,14794
46780,Oliva,19227,15043
46760,Tabernes de la Valldigna,19531,15271
43530,Alcanar,19730,15420
12580,Benicarló,19764,15446
25730,Artesa de Segre,19798,15471
25334,Castellserá,19800,15473
43746,Tivissa,19868,15524
25150,Artesa de Lérida,20044,15656
7560,Cala Millor,20158,15741
25240,Liñola,20250,15810
35571,Yaiza,20290,15835
25173,Sudanell,20296,15839
48013,Bilbao,20313,15850
48100,Bilbao,20313,15850
35500,Arrecife,20366,15887
12500,Vinarós,20392,15905
26250,Santo Domingo de la Calzada,20565,16024
8710,Santa Margarita de Montbuy,20582,16036
22430,Graus,20596,16046
25539,Garós,20596,16046
25137,Corbíns,20676,16101
7200,Felanitx,20719,16131
29649,Mijas,20734,16141
43878,Masdenverge,20739,16144
22572,Castillonroy,20800,16187
46702,Gandía,20810,16193
43870,Amposta,20835,16211
25691,Ager,20890,16249
26280,Ezcaray,20925,16273
7750,Ferreries,20948,16289
8788,Vilanova del Camí,21025,16342
7760,Ciutadella,21088,16385
25500,Puebla de Segur,21115,16404
25790,Bassella,21142,16422
46869,Benisoda,21176,16446
8717,Montmaneu,21227,16481
43716,Albiñana,21238,16489
22520,Fraga,21258,16503
31592,Cintruénigo,21310,16538
8921,Sata Coloma de Gramanet,21350,16566
8922,Sata Coloma de Gramanet,21351,16567
8923,Sata Coloma de Gramanet,21352,16567
7730,Alaior,21477,16654
7519,Maria de la Salut,21506,16674
46600,Alcira,21551,16705
43540,San Carlos de la Rápita,21609,16745
17176,Juanetas,21677,16792
7740,Es Mercadal,21694,16803
8777,San Quintín de Mediona,21743,16837
12594,Oropesa del Mar,21745,16839
7500,Manacor,21763,16851
34800,Aguilar de Campoo,21805,16880
39716,Entrambasaguas,21839,16903
17469,Vilamalla,21851,16912
8012,Vila de Gracia,21875,16928
8013,El fort Pienc/Sagrada familia,21875,16928
8023,Vallcarca y los penitentes,21875,16928
8024,Gracia,21875,16928
8025,Gràcia Nova,21875,16928
8026,La Sagrera,21875,16928
8037,Verdaguer,21875,16928
25280,Solsona,21891,16939
25283,Odén,21891,16939
26500,Calahorra,21939,16972
31570,San Adrián ,21939,16972
50300,Calatayud,21947,16978
8330,Premià de Mar,21979,17000
25740,Ponts,21979,17000
25337,Belcaire de Urgell,22034,17038
25560,Sort,22071,17063
17412,Massanet de la Selva,22109,17090
17100,LA Bisbal del Ampurdán,22152,17119
7570,Arta,22185,17142
17310,Lloret de Mar,22200,17153
31500,Tudela,22256,17191
8507,Santa Eugñenia de Berga,22286,17212
8680,Caserras,22302,17223
43813,Figuerola del Camp,22348,17255
8397,Pineda de Mar,22371,17270
17134,La Tallada de Ampurdán,22385,17280
43420,Santa Coloma de Queralt,22405,17294
7240,Sant Joan,22410,17297
17320,Tossa de Mar,22442,17319
25617,Asentiú,22504,17362
35600,Puerto del Rosario,22527,17378
35420,moya,22574,17411
35423,moya,22574,17411
11405,Jerez de La frontera,22610,17435
25100,Almacellas,22636,17453
43330,Riudoms,22662,17471
