GRAU,CODEX,CODASS,CURS,QUAD,SUPERA,NF,GRUP_CLASSE
752,227908,240025,2010,2,N,2.6,43
752,228695,240025,2010,2,N,1.4,43
752,227332,240025,2010,2,S,7.7,51
752,230686,240025,2010,2,S,8.8,51
752,227034,240022,2010,2,S,7.0,31
752,227766,240022,2010,2,S,5.4,31
752,228454,240022,2010,2,S,7.3,32
752,228571,240022,2010,2,S,5.5,32
752,227584,240022,2010,2,S,8.1,32
752,227290,240022,2010,2,S,7.1,41
752,227520,240022,2010,2,S,5.1,41
752,230992,240022,2010,2,S,5.0,51
752,227338,240022,2010,2,S,7.9,52
752,227128,240022,2010,2,S,5.3,52
752,227742,240025,2010,2,N,3.7,42
752,228884,240025,2010,2,S,5.4,42
752,227522,240025,2010,2,N,0.4,42
752,232094,240025,2010,2,S,8.0,42
752,226888,240025,2010,2,S,6.9,43
752,228122,240022,2010,2,S,5.0,42
752,233204,240022,2010,2,N,3.7,42
752,228884,240022,2010,2,N,2.4,43
752,228045,240022,2010,2,S,6.7,51
752,230686,240022,2010,2,S,7.7,51
752,232799,240022,2010,2,N,3.5,53
752,228474,240022,2010,2,S,6.5,33
752,227979,240012,2010,2,N,4.6,11
752,227320,240012,2010,2,N,4.0,11
752,226888,240012,2010,2,N,4.5,12
752,228736,240025,2010,2,S,8.1,52
752,226684,240025,2010,2,N,1.0,52
752,227284,240025,2010,2,S,6.0,52
752,227728,240025,2010,2,S,7.8,52
752,228704,240012,2010,2,S,5.4,12
752,231325,240012,2010,2,S,5.2,12
752,230188,240025,2010,2,S,6.3,11
752,227829,240025,2010,2,N,0.3,13
752,228382,240012,2010,2,N,4.4,11
752,227231,240025,2010,2,S,9.0,11
752,227383,240025,2010,2,N,4.4,12
752,227320,240025,2010,2,N,0.5,12
752,229370,240011,2010,2,S,8.0,12
752,228556,240011,2010,2,N,3.4,11
752,228631,240011,2010,2,S,5.0,12
752,229635,240022,2010,2,S,6.8,12
752,227231,240011,2010,2,N,4.3,32
752,228637,240022,2010,2,S,6.4,11
752,227231,240022,2010,2,N,4.0,11
752,229248,240022,2010,2,S,5.1,12
752,226648,240022,2010,2,S,5.4,12
752,227307,240022,2010,2,S,5.1,12
752,228432,240022,2010,2,S,6.8,13
752,226464,240011,2010,2,S,5.0,32
752,227659,240022,2010,2,S,5.0,23
752,228615,240022,2010,2,S,8.8,23
752,227296,240022,2010,2,S,7.0,23
752,228628,240022,2010,2,S,5.6,31
752,227958,240022,2010,2,S,6.5,31
752,227601,240025,2010,2,N,2.6,33
752,228429,240025,2010,2,N,0.2,33
752,227182,240025,2010,2,S,6.0,41
752,228497,240025,2010,2,S,5.0,41
752,228324,240025,2010,2,S,6.7,41
752,230199,240025,2010,2,S,9.6,11
