GRAU,CODEX,CODASS,CURS,QUAD,SUPERA,NF,GRUP_CLASSE
752,227207,240032.0,2011,1,S,7.4,10
752,228015,240032.0,2011,1,S,6.3,10
752,230666,240032.0,2011,1,S,7.6,10
752,227765,240032.0,2011,1,S,7.6,10
752,230248,240032.0,2011,1,S,5.0,20
752,230199,240032.0,2011,1,S,8.3,10
752,228162,240032.0,2011,1,S,5.7,10
752,227027,240032.0,2011,1,S,6.7,10
752,227296,240032.0,2011,1,S,6.8,10
752,227878,240032.0,2011,1,S,7.4,30
752,229314,240032.0,2011,1,S,7.4,40
752,232351,240032.0,2011,1,S,6.3,40
752,227307,240032.0,2011,1,N,3.7,40
752,230159,240032.0,2011,1,S,7.1,30
752,228494,240032.0,2011,1,S,5.6,30
752,227637,240131.0,2011,1,S,8.0,10
752,229677,240131.0,2011,1,S,5.5,10
752,227048,240131.0,2011,1,S,5.2,30
752,230992,240131.0,2011,1,S,5.0,40
752,228454,240052.0,2012,1,S,7.7,11
752,227034,240052.0,2012,1,S,7.5,11
752,245234,240033.0,2012,1,N,4.4,43
752,226472,240133.0,2011,1,S,6.2,10
752,228005,240133.0,2011,1,S,5.0,10
752,227518,240133.0,2011,1,S,6.3,10
752,229890,240133.0,2011,1,S,6.8,10
752,227087,240133.0,2011,1,S,6.5,20
752,229821,240133.0,2011,1,S,5.0,20
752,228630,240133.0,2011,1,S,5.0,20
752,227034,240133.0,2011,1,N,3.9,20
752,228535,240133.0,2011,1,S,5.0,30
752,232393,240133.0,2011,1,S,5.4,30
752,228600,240133.0,2011,1,N,3.5,20
752,227588,240055.0,2012,1,S,7.1,22
752,227304,240032.0,2011,1,S,7.5,30
752,231745,240131.0,2011,1,S,5.7,10
752,228661,240131.0,2011,1,S,6.0,20
752,246361,240033.0,2012,1,S,5.5,21
752,245407,240033.0,2012,1,N,4.2,21
752,231419,240033.0,2012,1,S,6.1,21
752,244653,240033.0,2012,1,S,5.8,21
752,245443,240033.0,2012,1,N,3.2,22
752,244005,240033.0,2012,1,S,6.5,31
752,246807,240033.0,2012,1,S,5.9,31
752,244150,240033.0,2012,1,S,5.0,31
752,227142,240131.0,2011,1,S,6.2,10
752,227805,240131.0,2011,1,S,8.6,10
752,245724,240033.0,2012,1,S,5.0,11
752,243666,240033.0,2012,1,S,5.8,11
752,245474,240033.0,2012,1,S,5.0,12
752,244843,240033.0,2012,1,S,6.0,12
752,227125,240033.0,2012,1,N,3.2,12
752,245708,240033.0,2012,1,S,5.0,12
752,243899,240033.0,2012,1,N,3.6,12
752,228382,240033.0,2012,1,S,5.0,11
752,245564,240033.0,2012,1,S,5.0,12
752,226635,240131.0,2011,1,S,6.4,30
752,229635,240131.0,2011,1,S,6.7,30
752,227451,240131.0,2011,1,S,5.5,30
752,230933,240052.0,2012,1,S,7.2,42
752,228044,240132.0,2012,1,N,4.1,33
752,228715,240132.0,2012,1,S,5.0,41
752,229698,240132.0,2012,1,S,7.0,41
752,248504,240132.0,2012,1,S,5.5,11
752,229447,240502.0,2012,1,S,8.4,10
752,228108,240132.0,2012,1,S,5.4,32
752,227506,240406.0,2012,1,S,10.0,10
752,228958,240406.0,2012,1,S,9.5,10
752,228474,240042.0,2012,1,S,5.9,12
752,228099,240406.0,2012,1,S,9.5,10
752,227036,240042.0,2012,1,S,6.6,12
752,244848,240132.0,2012,1,S,6.2,21
752,245137,240132.0,2012,1,S,5.1,21
752,245462,240132.0,2012,1,S,7.0,23
752,245110,240132.0,2012,1,S,5.6,23
752,244971,240132.0,2012,1,S,8.0,23
752,245516,240132.0,2012,1,S,5.9,23
752,245017,240132.0,2012,1,S,8.0,31
752,244343,240132.0,2012,1,S,7.7,31
752,245810,240132.0,2012,1,S,6.5,31
752,246123,240132.0,2012,1,S,7.2,31
752,227522,240042.0,2012,1,S,5.3,21
752,230662,240042.0,2012,1,S,7.0,21
752,226543,240042.0,2012,1,S,7.0,21
752,228045,240141.0,2012,1,S,6.8,12
752,245826,240132.0,2012,1,S,7.0,22
752,245086,240132.0,2012,1,S,6.2,22
752,246657,240132.0,2012,1,S,7.1,22
752,228055,240042.0,2012,1,S,6.5,21
752,244648,240132.0,2012,1,S,9.3,21
752,229370,240132.0,2012,1,S,5.0,12
752,245847,240132.0,2012,1,S,5.7,13
752,245373,240132.0,2012,1,S,6.4,13
752,245986,240132.0,2012,1,S,5.6,13
752,245554,240132.0,2012,1,S,7.7,42
752,228021,240132.0,2012,1,S,6.4,42
752,252422,240132.0,2012,1,S,7.6,42
752,228108,240502.0,2012,1,S,7.8,10
752,226635,240502.0,2012,1,S,8.2,10
752,226680,240054.0,2012,1,S,7.8,11
752,227413,240054.0,2012,1,S,6.2,13
752,227497,240054.0,2012,1,S,6.6,21
752,227624,240054.0,2012,1,S,7.0,14
752,227752,240054.0,2012,1,S,7.3,14
752,227094,240054.0,2012,1,S,7.7,11
752,228535,240054.0,2012,1,S,6.1,12
752,226685,240054.0,2012,1,S,5.8,31
752,226818,240054.0,2012,1,S,7.2,14
752,227008,240054.0,2012,1,N,4.6,14
752,227779,240054.0,2012,1,S,7.5,24
752,228529,240054.0,2012,1,S,7.7,31
752,227087,240054.0,2012,1,S,7.0,33
752,231371,240054.0,2012,1,S,6.7,41
752,228047,240132.0,2012,1,N,3.3,51
752,228432,240132.0,2012,1,N,3.9,51
752,250343,240132.0,2012,1,S,5.6,11
752,227289,240132.0,2012,1,N,4.3,51
752,228429,240132.0,2012,1,N,3.9,51
752,243666,240132.0,2012,1,S,7.1,11
752,228383,240132.0,2012,1,N,3.7,11
752,245322,240132.0,2012,1,S,7.0,11
752,246132,240132.0,2012,1,S,5.3,11
752,245763,240132.0,2012,1,S,5.5,11
752,227654,240132.0,2012,1,N,1.6,51
752,230666,240051.0,2012,1,S,8.7,30
752,228600,240131.0,2012,1,S,5.5,10
752,228242,240133.0,2012,1,S,5.0,10
752,244119,240133.0,2012,1,N,1.5,50
752,252424,240133.0,2012,1,N,1.5,50
752,232526,240051.0,2012,1,N,3.6,40
752,230933,240051.0,2012,1,S,5.9,40
752,227332,240051.0,2012,1,N,3.7,40
752,230248,240051.0,2012,1,S,5.0,40
752,227877,240051.0,2012,1,S,8.2,40
752,227728,240051.0,2012,1,S,7.8,40
752,244703,240133.0,2012,1,S,5.7,10
752,245832,240133.0,2012,1,N,2.5,10
752,246304,240133.0,2012,1,S,7.0,10
752,246091,240032.0,2012,1,S,6.6,22
752,245086,240032.0,2012,1,N,3.9,22
752,246908,240032.0,2012,1,S,6.2,22
752,245476,240032.0,2012,1,N,4.7,31
752,245017,240032.0,2012,1,S,5.7,31
752,245810,240032.0,2012,1,S,6.3,31
752,227700,240051.0,2012,1,S,8.8,30
752,232054,240051.0,2012,1,S,7.2,30
752,246657,240032.0,2012,1,S,5.8,21
752,245127,240032.0,2012,1,S,5.5,21
752,244531,240032.0,2012,1,S,6.0,22
752,246104,240032.0,2012,1,S,5.8,21
752,245710,240032.0,2012,1,S,6.1,21
752,226464,240503.0,2012,1,S,9.0,11
752,245393,240032.0,2012,1,S,6.4,12
752,227791,240032.0,2012,1,N,3.9,12
752,244867,240032.0,2012,1,S,6.0,23
752,244458,240032.0,2012,1,S,6.9,23
752,228375,240032.0,2012,1,N,2.1,23
752,227522,240032.0,2012,1,N,4.6,33
752,227341,240151.0,2012,1,N,4.2,20
752,244626,240032.0,2012,1,S,6.3,11
752,245763,240032.0,2012,1,S,6.0,11
752,246370,240032.0,2012,1,S,5.2,13
752,245474,240032.0,2012,1,S,5.6,13
752,245332,240032.0,2012,1,S,6.0,13
752,245737,240032.0,2012,1,S,5.8,23
752,226495,240131.0,2012,1,S,5.7,40
752,227779,240151.0,2012,1,S,6.7,20
752,227047,240151.0,2012,1,S,5.0,20
752,227495,240151.0,2012,1,S,7.1,20
752,226499,240151.0,2012,1,N,3.4,20
752,227091,240032.0,2012,1,S,5.5,41
752,227775,240032.0,2012,1,S,5.6,42
752,244252,240032.0,2012,1,S,5.6,11
752,246034,240032.0,2012,1,S,7.0,23
752,243436,240131.0,2012,1,S,7.1,40
752,228297,240032.0,2012,1,N,4.1,32
752,244596,240032.0,2012,1,S,5.0,32
752,245369,240032.0,2012,1,S,5.0,32
752,227636,240032.0,2012,1,S,6.6,32
752,228628,240032.0,2012,1,S,5.7,32
752,227880,240032.0,2012,1,S,5.2,41
752,245401,240131.0,2012,1,S,6.7,20
752,227607,240032.0,2012,1,S,5.8,51
752,244343,240131.0,2012,1,S,6.3,30
752,244151,240032.0,2012,1,S,6.0,31
752,228476,240032.0,2012,1,N,4.0,51
752,227289,240032.0,2012,1,S,5.7,51
752,244708,240131.0,2012,1,S,6.1,20
752,245402,240131.0,2012,1,S,8.0,20
